SN,State,LGA,Health Facility,% of states that have commenced recruitment of SBAs,Proportion of targeted SBA recruitments that have been completed (recruited over planned),Number of SBAs recruited,Proportion of SBAs deployed per state (total number deployed),Total number of SBAs,Proportion of planned frontline health workers who have been trained,Proportion of CBHWs recruited (state),Number of CBHWs trained (state),Proportion of CBHWs deployed per state (state),% of recruited CBHWs that have been absorbed ,Total BHCPF Facilities (LGA),Proportion of L2 functional facilities per LGA (BHCPF),Proportion of L1 functional facilities per LGA,Proportion of partially functional facilities per LGA,Number of revitalized PHC facilities per LGA,# of emergency referrals transported via the ambulance service,# of obstetric and newborn emergency referrals transported via the ambulance service,# of obstetric emergencies reported via helplines,,,,,
184,ANAMBRA,ONITSHA SOUTH,St Faith Primary Health Centre,NO,0,0,0,3,69,0,0,0,0,17,1,16,0,#N/A,,,,,,,,
185,ANAMBRA,ONITSHA SOUTH,St John Ang Primary Health Centre,NO,0,0,0,4,69,0,0,0,0,17,1,16,0,#N/A,,,,,,,,
186,ANAMBRA,ONITSHA SOUTH,St John De Baptist Primary Health Centre,NO,0,0,0,1,69,0,0,0,0,17,1,16,0,#N/A,,,,,,,,
187,ANAMBRA,ONITSHA SOUTH,St Monica Primary Health Centre,NO,0,0,0,3,69,0,0,0,0,17,1,16,0,#N/A,,,,,,,,
188,ANAMBRA,ONITSHA SOUTH,Umunna Mphc Primary Health Centre,NO,0,0,0,4,69,0,0,0,0,17,1,16,0,#N/A,,,,,,,,
189,ANAMBRA,ONITSHA SOUTH,Ziks Avenue Primary Health Centre,NO,0,0,0,1,69,0,0,0,0,17,1,16,0,#N/A,,,,,,,,
190,BAUCHI,DAMBAM,Dagauda Mphcc Primary Health Centre,NO,0,0,0,4,95,0,0,0,0,10,2,8,0,6,,,,,,,,
191,BAUCHI,DAMBAM,Dambam Primary Health Centre,NO,0,0,0,3,95,0,0,0,0,10,2,8,0,6,,,,,,,,
192,BAUCHI,DAMBAM,Garin Jarmi Dispensary,NO,0,0,0,2,95,0,0,0,0,10,2,8,0,6,,,,,,,,
193,BAUCHI,DAMBAM,Garuza Primary Health Centre,NO,0,0,0,3,95,0,0,0,0,10,2,8,0,6,,,,,,,,
194,BAUCHI,DAMBAM,Gurbana Primary Health Centre,NO,0,0,0,3,95,0,0,0,0,10,2,8,0,6,,,,,,,,
195,BAUCHI,DAMBAM,Jalam Mphc Primary Health Centre,NO,0,0,0,5,95,0,0,0,0,10,2,8,0,6,,,,,,,,
196,BAUCHI,DAMBAM,Luchamdi Dispensary,NO,0,0,0,3,95,0,0,0,0,10,2,8,0,6,,,,,,,,
197,BAUCHI,DAMBAM,Yame Primary Health Centre,NO,0,0,0,3,95,0,0,0,0,10,2,8,0,6,,,,,,,,
198,BAUCHI,DAMBAM,Yanda Primary Health Centre,NO,0,0,0,1,95,0,0,0,0,10,2,8,0,6,,,,,,,,
199,BAUCHI,DAMBAM,Zaura Primary Health Centre,NO,0,0,0,2,95,0,0,0,0,10,2,8,0,6,,,,,,,,
200,BAUCHI,DARAZO,Aiy Under Five Primary Health Centre,NO,0,0,0,10,108,0,0,0,0,11,7,4,0,8,,,,,,,,
201,BAUCHI,DARAZO,Gabarin Primary Health Centre,NO,0,0,0,4,108,0,0,0,0,11,7,4,0,8,,,,,,,,
202,BAUCHI,DARAZO,Gabchiyari Primary Health Centre,NO,0,0,0,3,108,0,0,0,0,11,7,4,0,8,,,,,,,,
203,BAUCHI,DARAZO,Kwankiyel Primary Health Centre,NO,0,0,0,5,108,0,0,0,0,11,7,4,0,8,,,,,,,,
204,BAUCHI,DARAZO,Lago Primary Health Centre,NO,0,0,0,3,108,0,0,0,0,11,7,4,0,8,,,,,,,,
205,BAUCHI,DARAZO,Lanzai West Primary Health Centre,NO,0,0,0,3,108,0,0,0,0,11,7,4,0,8,,,,,,,,
206,BAUCHI,DARAZO,Papa Primary Health Centre,NO,0,0,0,2,108,0,0,0,0,11,7,4,0,8,,,,,,,,
207,BAUCHI,DARAZO,Sade Primary Health Centre,NO,0,0,0,4,108,0,0,0,0,11,7,4,0,8,,,,,,,,
208,BAUCHI,DARAZO,Tauya Primary Health Centre,NO,0,0,0,5,108,0,0,0,0,11,7,4,0,8,,,,,,,,
209,BAUCHI,DARAZO,Wahu Primary Health Centre,NO,0,0,0,4,108,0,0,0,0,11,7,4,0,8,,,,,,,,
210,BAUCHI,DARAZO,Yautare Primary Health Centre,NO,0,0,0,6,108,0,0,0,0,11,7,4,0,8,,,,,,,,
211,BAUCHI,DASS,Bajar Primary Health Centre,NO,0,0,0,4,90,0,0,0,0,10,9,1,0,8,,,,,,,,
212,BAUCHI,DASS,Baraza Primary Health Centre,NO,0,0,0,5,90,0,0,0,0,10,9,1,0,8,,,,,,,,
213,BAUCHI,DASS,Bazali (Same As Polchi) Primary Health Centre,NO,0,0,0,5,90,0,0,0,0,10,9,1,0,8,,,,,,,,
214,BAUCHI,DASS,Dabardak Maternal And Child Health,NO,0,0,0,6,90,0,0,0,0,10,9,1,0,8,,,,,,,,
215,BAUCHI,DASS,Dass Town Maternity Centre,NO,0,0,0,9,90,0,0,0,0,10,9,1,0,8,,,,,,,,
216,BAUCHI,DASS,Dott Primary Health Centre,NO,0,0,0,6,90,0,0,0,0,10,9,1,0,8,,,,,,,,
217,BAUCHI,DASS,Durr Primary Health Centre,NO,0,0,0,7,90,0,0,0,0,10,9,1,0,8,,,,,,,,
218,BAUCHI,DASS,Wandi Maternal And Child Health,NO,0,0,0,6,90,0,0,0,0,10,9,1,0,8,,,,,,,,
219,BAUCHI,DASS,Yelwan Bashi Primary Health Centre,NO,0,0,0,5,90,0,0,0,0,10,9,1,0,8,,,,,,,,
220,BAUCHI,DASS,Zumbul Maternal And Child Health,NO,0,0,0,3,90,0,0,0,0,10,9,1,0,8,,,,,,,,
221,BAUCHI,GAMAWA,Alagarno Maternal And Child Health,NO,0,0,0,4,147,0,0,0,0,11,4,7,0,6,,,,,,,,
222,BAUCHI,GAMAWA,Gadiya Mphc Primary Health Centre,NO,0,0,0,3,147,0,0,0,0,11,4,7,0,6,,,,,,,,
223,BAUCHI,GAMAWA,Gamawa Primary Health Centre,NO,0,0,0,4,147,0,0,0,0,11,4,7,0,6,,,,,,,,
224,BAUCHI,GAMAWA,Gololo Primary Health Centre,NO,0,0,0,3,147,0,0,0,0,11,4,7,0,6,,,,,,,,
225,BAUCHI,GAMAWA,Kafi Romi Maternal And Child Health,NO,0,0,0,3,147,0,0,0,0,11,4,7,0,6,,,,,,,,
226,BAUCHI,GAMAWA,Kubdiya Primary Health Centre,NO,0,0,0,2,147,0,0,0,0,11,4,7,0,6,,,,,,,,
227,BAUCHI,GAMAWA,Raga Primary Health Centre,NO,0,0,0,1,147,0,0,0,0,11,4,7,0,6,,,,,,,,
228,BAUCHI,GAMAWA,Tarmasuwa Primary Health Centre,NO,0,0,0,3,147,0,0,0,0,11,4,7,0,6,,,,,,,,
229,BAUCHI,GAMAWA,Tumbi Primary Health Centre,NO,0,0,0,2,147,0,0,0,0,11,4,7,0,6,,,,,,,,
230,BAUCHI,GAMAWA,Udubo Primary Health Centre,NO,0,0,0,4,147,0,0,0,0,11,4,7,0,6,,,,,,,,
231,BAUCHI,GAMAWA,Zindiwa Primary Health Centre,NO,0,0,0,4,147,0,0,0,0,11,4,7,0,6,,,,,,,,
232,BAUCHI,GIADE,Chinkani Primary Health Centre,NO,0,0,0,3,115,0,0,0,0,10,1,9,0,8,,,,,,,,
233,BAUCHI,GIADE,Doguwa Primary Health Centre,NO,0,0,0,2,115,0,0,0,0,10,1,9,0,8,,,,,,,,
234,BAUCHI,GIADE,Faguji Primary Health Centre,NO,0,0,0,2,115,0,0,0,0,10,1,9,0,8,,,,,,,,
235,BAUCHI,GIADE,Giade Primary Health Centre,NO,0,0,0,2,115,0,0,0,0,10,1,9,0,8,,,,,,,,
236,BAUCHI,GIADE,Isawa Primary Health Centre,NO,0,0,0,2,115,0,0,0,0,10,1,9,0,8,,,,,,,,
237,BAUCHI,GIADE,Jugudu Primary Health Centre,NO,0,0,0,2,115,0,0,0,0,10,1,9,0,8,,,,,,,,
238,BAUCHI,GIADE,Sabon Sara Primary Health Centre,NO,0,0,0,1,115,0,0,0,0,10,1,9,0,8,,,,,,,,
239,BAUCHI,GIADE,Uzum Primary Health Centre,NO,0,0,0,2,115,0,0,0,0,10,1,9,0,8,,,,,,,,
240,BAUCHI,GIADE,Zabi Mphc Primary Health Centre,NO,0,0,0,5,115,0,0,0,0,10,1,9,0,8,,,,,,,,
241,BAUCHI,GIADE,Zirami Primary Health Centre,NO,0,0,0,3,115,0,0,0,0,10,1,9,0,8,,,,,,,,
242,BAUCHI,ITAS GADAU,Abdallawa Primary Health Centre,NO,0,0,0,3,81,0,0,0,0,10,3,7,0,#N/A,,,,,,,,
243,BAUCHI,ITAS GADAU,Atafowa Maternal And Child Health,NO,0,0,0,3,81,0,0,0,0,10,3,7,0,#N/A,,,,,,,,
244,BAUCHI,ITAS GADAU,Bambal Maternal And Child Health,NO,0,0,0,3,81,0,0,0,0,10,3,7,0,#N/A,,,,,,,,
245,BAUCHI,ITAS GADAU,Buzawa Primary Health Centre,NO,0,0,0,1,81,0,0,0,0,10,3,7,0,#N/A,,,,,,,,
246,BAUCHI,ITAS GADAU,Gadau Primary Health Centre,NO,0,0,0,6,81,0,0,0,0,10,3,7,0,#N/A,,,,,,,,
247,BAUCHI,ITAS GADAU,Gamsha Primary Health Centre,NO,0,0,0,1,81,0,0,0,0,10,3,7,0,#N/A,,,,,,,,
248,BAUCHI,ITAS GADAU,Gwarai Maternal And Child Health,NO,0,0,0,2,81,0,0,0,0,10,3,7,0,#N/A,,,,,,,,
249,BAUCHI,ITAS GADAU,Itas Maternal And Child Health,NO,0,0,0,5,81,0,0,0,0,10,3,7,0,#N/A,,,,,,,,
250,BAUCHI,ITAS GADAU,Kashuri Primary Health Centre,NO,0,0,0,3,81,0,0,0,0,10,3,7,0,#N/A,,,,,,,,
251,BAUCHI,ITAS GADAU,Mashema Healthcenter Primary Health Centre,NO,0,0,0,4,81,0,0,0,0,10,3,7,0,#N/A,,,,,,,,
252,BAUCHI,JAMA ARE,Abuja Health Clinic,NO,0,0,0,2,90,0,0,0,0,10,1,9,0,#N/A,,,,,,,,
253,BAUCHI,JAMA ARE,Dogonjeji Primary Health Centre,NO,0,0,0,3,90,0,0,0,0,10,1,9,0,#N/A,,,,,,,,
254,BAUCHI,JAMA ARE,Galdimari Primary Health Centre,NO,0,0,0,2,90,0,0,0,0,10,1,9,0,#N/A,,,,,,,,
255,BAUCHI,JAMA ARE,Gongo Health Centre,NO,0,0,0,2,90,0,0,0,0,10,1,9,0,#N/A,,,,,,,,
256,BAUCHI,JAMA ARE,Hanafari Mphc Primary Health Centre,NO,0,0,0,3,90,0,0,0,0,10,1,9,0,#N/A,,,,,,,,
257,BAUCHI,JAMA ARE,Jama’are Town Maternity Centre,NO,0,0,0,3,90,0,0,0,0,10,1,9,0,#N/A,,,,,,,,
258,BAUCHI,JAMA ARE,Jurara Primary Health Centre,NO,0,0,0,3,90,0,0,0,0,10,1,9,0,#N/A,,,,,,,,
259,BAUCHI,JAMA ARE,Nasarawa Primary Health Centre,NO,0,0,0,2,90,0,0,0,0,10,1,9,0,#N/A,,,,,,,,
260,BAUCHI,JAMA ARE,Sabon Kafi Primary Health Centre,NO,0,0,0,4,90,0,0,0,0,10,1,9,0,#N/A,,,,,,,,
261,BAUCHI,JAMA ARE,Under Five Clinic,NO,0,0,0,2,90,0,0,0,0,10,1,9,0,#N/A,,,,,,,,
262,BAUCHI,KATAGUM,Bulkachuwa Mphc Primary Health Centre,NO,0,0,0,5,144,0,0,0,0,11,8,3,0,7,,,,,,,,
263,BAUCHI,KATAGUM,Buskuri Maternal And Child Health,NO,0,0,0,4,144,0,0,0,0,11,8,3,0,7,,,,,,,,
264,BAUCHI,KATAGUM,Chinade Primary Health Centre,NO,0,0,0,8,144,0,0,0,0,11,8,3,0,7,,,,,,,,
265,BAUCHI,KATAGUM,Gambaki Primary Health Centre,NO,0,0,0,4,144,0,0,0,0,11,8,3,0,7,,,,,,,,
266,BAUCHI,KATAGUM,Madachi Primary Health Centre,NO,0,0,0,4,144,0,0,0,0,11,8,3,0,7,,,,,,,,
267,BAUCHI,KATAGUM,Madangala Health Clinic,NO,0,0,0,2,144,0,0,0,0,11,8,3,0,7,,,,,,,,
268,BAUCHI,KATAGUM,Madara Mphc Primary Health Centre,NO,0,0,0,8,144,0,0,0,0,11,8,3,0,7,,,,,,,,
269,BAUCHI,KATAGUM,Magwanshi Primary Health Centre,NO,0,0,0,3,144,0,0,0,0,11,8,3,0,7,,,,,,,,
270,BAUCHI,KATAGUM,Tatari Ali Primary Health Centre,NO,0,0,0,4,144,0,0,0,0,11,8,3,0,7,,,,,,,,
271,BAUCHI,KATAGUM,Urban K/Kaji Maternity Centre,NO,0,0,0,4,144,0,0,0,0,11,8,3,0,7,,,,,,,,
272,BAUCHI,KATAGUM,Yayu Primary Health Centre,NO,0,0,0,6,144,0,0,0,0,11,8,3,0,7,,,,,,,,
273,BAUCHI,KIRFI,Badara Health Clinic,NO,0,0,0,2,101,0,0,0,0,10,2,8,0,6,,,,,,,,
274,BAUCHI,KIRFI,Bara Primary Health Centre,NO,0,0,0,8,101,0,0,0,0,10,2,8,0,6,,,,,,,,
275,BAUCHI,KIRFI,Beni Health Clinic,NO,0,0,0,3,101,0,0,0,0,10,2,8,0,6,,,,,,,,
276,BAUCHI,KIRFI,Dewu Primary Health Centre,NO,0,0,0,3,101,0,0,0,0,10,2,8,0,6,,,,,,,,
277,BAUCHI,KIRFI,Guyaba Primary Health Centre,NO,0,0,0,2,101,0,0,0,0,10,2,8,0,6,,,,,,,,
278,BAUCHI,KIRFI,Kafin/Iya Maternal And Child Health,NO,0,0,0,3,101,0,0,0,0,10,2,8,0,6,,,,,,,,
279,BAUCHI,KIRFI,Kirfi Town Maternity Centre,NO,0,0,0,4,101,0,0,0,0,10,2,8,0,6,,,,,,,,
280,BAUCHI,KIRFI,Shongo Health Clinic,NO,0,0,0,2,101,0,0,0,0,10,2,8,0,6,,,,,,,,
281,BAUCHI,KIRFI,Tubule Health Clinic,NO,0,0,0,2,101,0,0,0,0,10,2,8,0,6,,,,,,,,
282,BAUCHI,KIRFI,Wanka Maternal And Child Health,NO,0,0,0,3,101,0,0,0,0,10,2,8,0,6,,,,,,,,
283,BAUCHI,MISAU,Akuyam Primary Health Centre,NO,0,0,0,6,160,0,0,0,0,10,4,6,0,8,,,,,,,,
284,BAUCHI,MISAU,Gwaram Primary Health Centre,NO,0,0,0,7,160,0,0,0,0,10,4,6,0,8,,,,,,,,
285,BAUCHI,MISAU,Hardawa Primary Health Centre,NO,0,0,0,3,160,0,0,0,0,10,4,6,0,8,,,,,,,,
286,BAUCHI,MISAU,Jarkasa Primary Health Centre,NO,0,0,0,5,160,0,0,0,0,10,4,6,0,8,,,,,,,,
287,BAUCHI,MISAU,Madakiri Maternal And Child Health,NO,0,0,0,7,160,0,0,0,0,10,4,6,0,8,,,,,,,,
288,BAUCHI,MISAU,Mainari Primary Health Centre,NO,0,0,0,7,160,0,0,0,0,10,4,6,0,8,,,,,,,,
289,BAUCHI,MISAU,Misau Town Primary Health Centre,NO,0,0,0,7,160,0,0,0,0,10,4,6,0,8,,,,,,,,
290,BAUCHI,MISAU,Saibure Primary Health Centre,NO,0,0,0,3,160,0,0,0,0,10,4,6,0,8,,,,,,,,
291,BAUCHI,MISAU,Sirko Primary Health Centre,NO,0,0,0,4,160,0,0,0,0,10,4,6,0,8,,,,,,,,
292,BAUCHI,MISAU,Zadawa Maternal And Child Health,NO,0,0,0,5,160,0,0,0,0,10,4,6,0,8,,,,,,,,
293,BAUCHI,SHIRA,Andubun Primary Health Centre,NO,0,0,0,3,236,0,0,0,0,11,3,8,0,6,,,,,,,,
294,BAUCHI,SHIRA,Bangire Primary Health Centre,NO,0,0,0,3,236,0,0,0,0,11,3,8,0,6,,,,,,,,
295,BAUCHI,SHIRA,Beli Maternal And Child Health,NO,0,0,0,3,236,0,0,0,0,11,3,8,0,6,,,,,,,,
296,BAUCHI,SHIRA,Disina Primary Health Centre,NO,0,0,0,5,236,0,0,0,0,11,3,8,0,6,,,,,,,,
297,BAUCHI,SHIRA,Faggo Primary Health Centre,NO,0,0,0,4,236,0,0,0,0,11,3,8,0,6,,,,,,,,
298,BAUCHI,SHIRA,Katabarwa Primary Health Centre,NO,0,0,0,1,236,0,0,0,0,11,3,8,0,6,,,,,,,,
299,BAUCHI,SHIRA,Kilbori Maternal And Child Health,NO,0,0,0,1,236,0,0,0,0,11,3,8,0,6,,,,,,,,
300,BAUCHI,SHIRA,Shira Primary Health Centre,NO,0,0,0,3,236,0,0,0,0,11,3,8,0,6,,,,,,,,
301,BAUCHI,SHIRA,Tsafi Maternal And Child Health,NO,0,0,0,2,236,0,0,0,0,11,3,8,0,6,,,,,,,,
302,BAUCHI,SHIRA,Tumfafi Maternal And Child Health,NO,0,0,0,1,236,0,0,0,0,11,3,8,0,6,,,,,,,,
303,BAUCHI,SHIRA,Zubo Primary Health Centre,NO,0,0,0,5,236,0,0,0,0,11,3,8,0,6,,,,,,,,
304,BENUE,GWER WEST,Aondona Primary Health Centre,NO,0,0,0,6,0,0,0,0,0,15,8,7,0,#N/A,,,,,,,,
305,BENUE,GWER WEST,Clinic,NO,0,0,0,3,0,0,0,0,0,15,8,7,0,#N/A,,,,,,,,
306,BENUE,GWER WEST,Eec Agagbe Primary Health Centre,NO,0,0,0,7,0,0,0,0,0,15,8,7,0,#N/A,,,,,,,,
307,BENUE,GWER WEST,Jimba Primary Health Centre,NO,0,0,0,4,0,0,0,0,0,15,8,7,0,#N/A,,,,,,,,
308,BENUE,GWER WEST,Jor Maternal And Child Health,NO,0,0,0,4,0,0,0,0,0,15,8,7,0,#N/A,,,,,,,,
309,BENUE,GWER WEST,Kwashon Primary Health Centre,NO,0,0,0,3,0,0,0,0,0,15,8,7,0,#N/A,,,,,,,,
310,BENUE,GWER WEST,Mbaakem Primary Health Centre,NO,0,0,0,6,0,0,0,0,0,15,8,7,0,#N/A,,,,,,,,
311,BENUE,GWER WEST,Mbapupuu Primary Health Centre,NO,0,0,0,4,0,0,0,0,0,15,8,7,0,#N/A,,,,,,,,
312,BENUE,GWER WEST,Mbashija Primary Health Centre,NO,0,0,0,4,0,0,0,0,0,15,8,7,0,#N/A,,,,,,,,
313,BENUE,GWER WEST,Mbier Primary Health Centre,NO,0,0,0,6,0,0,0,0,0,15,8,7,0,#N/A,,,,,,,,
314,BENUE,GWER WEST,Naka Comprehensive Health Centre,NO,0,0,0,13,0,0,0,0,0,15,8,7,0,#N/A,,,,,,,,
315,BENUE,GWER WEST,Nyamshi Primary Health Centre,NO,0,0,0,6,0,0,0,0,0,15,8,7,0,#N/A,,,,,,,,
316,BENUE,GWER WEST,Onovmbaaondo Primary Health Centre,NO,0,0,0,6,0,0,0,0,0,15,8,7,0,#N/A,,,,,,,,
317,BENUE,GWER WEST,Psp Abian Primary Health Centre,NO,0,0,0,4,0,0,0,0,0,15,8,7,0,#N/A,,,,,,,,
318,BENUE,GWER WEST,Tongov Primary Health Centre,NO,0,0,0,6,0,0,0,0,0,15,8,7,0,#N/A,,,,,,,,
319,BORNO,BAYO,Balbaya Primary Health Centre,NO,0,0,0,5,152,807,0,0,0,10,7,3,0,10,,,,,,,,
320,BORNO,BAYO,Briyel Maternal And Child Health,NO,0,0,0,6,152,807,0,0,0,10,7,3,0,10,,,,,,,,
321,BORNO,BAYO,Fikayel Primary Health Centre 1,NO,0,0,0,6,152,807,0,0,0,10,7,3,0,10,,,,,,,,
322,BORNO,BAYO,Gamadadi Primary Health Centre,NO,0,0,0,6,152,807,0,0,0,10,7,3,0,10,,,,,,,,
323,BORNO,BAYO,Jaradali Primary Health Centre,NO,0,0,0,5,152,807,0,0,0,10,7,3,0,10,,,,,,,,
324,BORNO,BAYO,Jaragol Primary Health Centre,NO,0,0,0,3,152,807,0,0,0,10,7,3,0,10,,,,,,,,
325,BORNO,BAYO,Kuva Primary Health Centre,NO,0,0,0,5,152,807,0,0,0,10,7,3,0,10,,,,,,,,
326,BORNO,BAYO,Teli Primary Health Centre,NO,0,0,0,7,152,807,0,0,0,10,7,3,0,10,,,,,,,,
327,BORNO,BAYO,Wuyo Primary Health Centre,NO,0,0,0,5,152,807,0,0,0,10,7,3,0,10,,,,,,,,
328,BORNO,BAYO,Zara Primary Health Centre,NO,0,0,0,3,152,807,0,0,0,10,7,3,0,10,,,,,,,,
329,BORNO,BIU,Biu Clinic Fsp,NO,0,0,0,8,84,807,0,0,0,9,1,8,0,7,,,,,,,,
330,BORNO,BIU,Biu Maternal And Child Health,NO,0,0,0,13,84,807,0,0,0,9,1,8,0,7,,,,,,,,
331,BORNO,BIU,Biu Town Primary Health Centre,NO,0,0,0,7,84,807,0,0,0,9,1,8,0,7,,,,,,,,
332,BORNO,BIU,Buratai Health Facility,NO,0,0,0,2,84,807,0,0,0,9,1,8,0,7,,,,,,,,
333,BORNO,BIU,Garubula Sabo Health Facility,NO,0,0,0,2,84,807,0,0,0,9,1,8,0,7,,,,,,,,
334,BORNO,BIU,Gunda Primary Health Centre,NO,0,0,0,2,84,807,0,0,0,9,1,8,0,7,,,,,,,,
335,BORNO,BIU,Miringa Maternal And Child Health,NO,0,0,0,11,84,807,0,0,0,9,1,8,0,7,,,,,,,,
336,BORNO,BIU,Tum Primary Health Centre,NO,0,0,0,4,84,807,0,0,0,9,1,8,0,7,,,,,,,,
337,BORNO,BIU,Yawi Health Facility,NO,0,0,0,6,84,807,0,0,0,9,1,8,0,7,,,,,,,,
338,BORNO,DAMBOA,Azir Multe Primary Health Centre,NO,0,0,0,6,50,807,0,0,0,3,0,3,0,3,,,,,,,,
339,BORNO,DAMBOA,Damboa Maternal And Child Health,NO,0,0,0,6,50,807,0,0,0,3,0,3,0,3,,,,,,,,
340,BORNO,DAMBOA,Gumsuri Primary Health Centre,NO,0,0,0,6,50,807,0,0,0,3,0,3,0,3,,,,,,,,
341,BORNO,GUBIO,Bazam Primary Health Centre,NO,0,0,0,2,29,807,0,0,0,2,1,1,0,3,,,,,,,,
342,BORNO,GUBIO,Gubio Primary Health Centre,NO,0,0,0,7,29,807,0,0,0,2,1,1,0,3,,,,,,,,
343,BORNO,HAWUL,Family Surport Hawul Clinic,NO,0,0,0,4,91,807,0,0,0,10,1,9,0,11,,,,,,,,
344,BORNO,HAWUL,Hyera Primary Health Centre,NO,0,0,0,6,91,807,0,0,0,10,1,9,0,11,,,,,,,,
345,BORNO,HAWUL,Kidang Primary Health Centre,NO,0,0,0,3,91,807,0,0,0,10,1,9,0,11,,,,,,,,
346,BORNO,HAWUL,Kirbutu Primary Health Centre,NO,0,0,0,2,91,807,0,0,0,10,1,9,0,11,,,,,,,,
347,BORNO,HAWUL,Kwajaffa Harangol Dispensary,NO,0,0,0,2,91,807,0,0,0,10,1,9,0,11,,,,,,,,
348,BORNO,HAWUL,Kwaya Bura Maternal And Child Health,NO,0,0,0,5,91,807,0,0,0,10,1,9,0,11,,,,,,,,
349,BORNO,HAWUL,Mbalatawiwi Primary Health Centre,NO,0,0,0,3,91,807,0,0,0,10,1,9,0,11,,,,,,,,
350,BORNO,HAWUL,Pelathlabu Primary Health Centre,NO,0,0,0,5,91,807,0,0,0,10,1,9,0,11,,,,,,,,
351,BORNO,HAWUL,Sakwa Primary Health Centre,NO,0,0,0,10,91,807,0,0,0,10,1,9,0,11,,,,,,,,
352,BORNO,HAWUL,Shaffa Primary Health Centre,NO,0,0,0,3,91,807,0,0,0,10,1,9,0,11,,,,,,,,
353,BORNO,JERE,Cbda Primary Health Centre,NO,0,0,0,5,125,807,0,0,0,10,7,3,0,10,,,,,,,,
354,BORNO,JERE,Dala Clinic,NO,0,0,0,9,125,807,0,0,0,10,7,3,0,10,,,,,,,,
355,BORNO,JERE,Dalaram Clinic,NO,0,0,0,12,125,807,0,0,0,10,7,3,0,10,,,,,,,,
356,BORNO,JERE,Fori Health Centre,NO,0,0,0,11,125,807,0,0,0,10,7,3,0,10,,,,,,,,
357,BORNO,JERE,Gomari Clinic,NO,0,0,0,12,125,807,0,0,0,10,7,3,0,10,,,,,,,,
358,BORNO,JERE,Gongulong Primary Health Centre,NO,0,0,0,12,125,807,0,0,0,10,7,3,0,10,,,,,,,,
359,BORNO,JERE,Jiddari Primary Health Centre,NO,0,0,0,10,125,807,0,0,0,10,7,3,0,10,,,,,,,,
360,BORNO,JERE,Maimusari Primary Health Centre,NO,0,0,0,9,125,807,0,0,0,10,7,3,0,10,,,,,,,,
361,BORNO,JERE,Mairi Clinic,NO,0,0,0,8,125,807,0,0,0,10,7,3,0,10,,,,,,,,
362,BORNO,JERE,Zabarmari Clinic,NO,0,0,0,9,125,807,0,0,0,10,7,3,0,10,,,,,,,,
363,BORNO,KAGA,Benishiek Maternal And Child Health,NO,0,0,0,9,71,807,0,0,0,3,1,2,0,2,,,,,,,,
364,BORNO,KAGA,Mainok Primary Health Centre,NO,0,0,0,9,71,807,0,0,0,3,1,2,0,2,,,,,,,,
365,BORNO,KAGA,Ngamdu Primary Health Centre,NO,0,0,0,9,71,807,0,0,0,3,1,2,0,2,,,,,,,,
366,BORNO,KONDUGA,Auno Primary Health Centre,NO,0,0,0,9,58,807,0,0,0,5,1,4,0,5,,,,,,,,
367,BORNO,KONDUGA,Dalori Primary Health Centre,NO,0,0,0,6,58,807,0,0,0,5,1,4,0,5,,,,,,,,
368,BORNO,KONDUGA,Jakana Health Centre,NO,0,0,0,11,58,807,0,0,0,5,1,4,0,5,,,,,,,,
369,BORNO,KONDUGA,Konduga Maternal And Child Health,NO,0,0,0,8,58,807,0,0,0,5,1,4,0,5,,,,,,,,
370,BORNO,KONDUGA,Njimtilo Primary Health Centre,NO,0,0,0,14,58,807,0,0,0,5,1,4,0,5,,,,,,,,
371,BORNO,MAFA,Mafa Primary Health Centre,NO,0,0,0,6,66,807,0,0,0,3,1,2,0,2,,,,,,,,
372,BORNO,MAFA,Malakyariri Maternal And Child Health,NO,0,0,0,10,66,807,0,0,0,3,1,2,0,2,,,,,,,,
373,BORNO,MAFA,Ngom Primary Health Centre,NO,0,0,0,8,66,807,0,0,0,3,1,2,0,2,,,,,,,,
374,BORNO,MAIDUGURI,Abbaganaram Primary Health Centre,NO,0,0,0,19,82,807,0,0,0,12,10,2,0,#N/A,,,,,,,,
375,BORNO,MAIDUGURI,Bulabulin Dispensary,NO,0,0,0,7,82,807,0,0,0,12,10,2,0,#N/A,,,,,,,,
376,BORNO,MAIDUGURI,Bulabulin Ngarannam Primary Health Centre,NO,0,0,0,13,82,807,0,0,0,12,10,2,0,#N/A,,,,,,,,
377,BORNO,MAIDUGURI,Fatima Ali Sheiff Maternal And Child Health,NO,0,0,0,21,82,807,0,0,0,12,10,2,0,#N/A,,,,,,,,
378,BORNO,MAIDUGURI,Gamboru Male Dispensary,NO,0,0,0,10,82,807,0,0,0,12,10,2,0,#N/A,,,,,,,,
379,BORNO,MAIDUGURI,Gamboru Primary Health Centre,NO,0,0,0,2,82,807,0,0,0,12,10,2,0,#N/A,,,,,,,,
380,BORNO,MAIDUGURI,Gwange I Primary Health Centre,NO,0,0,0,10,82,807,0,0,0,12,10,2,0,#N/A,,,,,,,,
381,BORNO,MAIDUGURI,Gwange II Primary Health Centre,NO,0,0,0,5,82,807,0,0,0,12,10,2,0,#N/A,,,,,,,,
382,BORNO,MAIDUGURI,Herwa Peace Primary Health Centre,NO,0,0,0,13,82,807,0,0,0,12,10,2,0,#N/A,,,,,,,,
